,Date,Currency_Buy,Currency_Sell,Buy_Price,Sell_Price,Status,MTM
9,2017-05-01,NZDUSD=X,AUDUSD=X,0.6873891949653625,0.7483405470848083,BUY,
31,2017-05-31,AUDUSD=X,NZDUSD=X,0.7459346652030945,0.7086418867111206,TP,2366.0
32,2017-06-01,AUDUSD=X,NZDUSD=X,0.7426661252975464,0.7083407044410706,SELL,
66,2017-07-20,NZDUSD=X,AUDUSD=X,0.7364312410354614,0.7960199117660522,TP,2526.0
72,2017-07-28,AUDUSD=X,NZDUSD=X,0.7973591089248657,0.7504127025604248,SELL,
95,2017-08-30,NZDUSD=X,AUDUSD=X,0.7258895635604858,0.7956715226173401,TP,2284.0
96,2017-08-31,NZDUSD=X,AUDUSD=X,0.7203884720802307,0.7907013297080994,BUY,
238,2018-03-20,AUDUSD=X,NZDUSD=X,0.7708317637443542,0.7243017554283142,TP,2378.0
241,2018-03-23,AUDUSD=X,NZDUSD=X,0.7693490982055664,0.7216100692749023,SELL,
340,2018-08-09,NZDUSD=X,AUDUSD=X,0.6694694757461548,0.7427765130996704,TP,2557.0
341,2018-08-10,NZDUSD=X,AUDUSD=X,0.660689651966095,0.7372456192970276,BUY,
392,2018-10-22,AUDUSD=X,NZDUSD=X,0.7113286256790161,0.6594479084014893,TP,2468.0
393,2018-10-23,AUDUSD=X,NZDUSD=X,0.7072685956954956,0.6554110646247864,SELL,
445,2019-01-03,NZDUSD=X,AUDUSD=X,0.6633586883544922,0.6918978691101074,SL,-2332.0
447,2019-01-07,NZDUSD=X,AUDUSD=X,0.6743497252464294,0.7123776078224182,BUY,
756,2020-03-16,AUDUSD=X,NZDUSD=X,0.6177682876586914,0.6050997972488403,TP,2536.0
757,2020-03-17,AUDUSD=X,NZDUSD=X,0.6099420189857483,0.6044706702232361,SELL,
777,2020-04-14,NZDUSD=X,AUDUSD=X,0.6102696061134338,0.6401106119155884,TP,2437.0
778,2020-04-15,NZDUSD=X,AUDUSD=X,0.6101199388504028,0.6434298753738403,BUY,
862,2020-08-11,AUDUSD=X,NZDUSD=X,0.7158001661300659,0.6593479514122009,SL,-2314.0
863,2020-08-12,NZDUSD=X,AUDUSD=X,0.6569395661354065,0.7145199775695801,BUY,
942,2020-12-01,AUDUSD=X,NZDUSD=X,0.7356798052787781,0.7018824815750122,TP,2378.0
943,2020-12-02,AUDUSD=X,NZDUSD=X,0.7380890846252441,0.7069985866546631,SELL,
973,2021-01-13,NZDUSD=X,AUDUSD=X,0.7229298949241638,0.7776049971580505,TP,2358.0
974,2021-01-14,NZDUSD=X,AUDUSD=X,0.7190313339233398,0.774713397026062,BUY,
1126,2021-08-16,AUDUSD=X,NZDUSD=X,0.736572265625,0.703982412815094,TP,2309.0
1127,2021-08-17,AUDUSD=X,NZDUSD=X,0.7341066002845764,0.7028493285179138,SELL,
1285,2022-03-25,NZDUSD=X,AUDUSD=X,0.696548581123352,0.7514277100563049,TP,2362.0
1286,2022-03-28,NZDUSD=X,AUDUSD=X,0.6957489848136902,0.7518231272697449,BUY,
